venue,date_post,id,author,length,first,idpauthor,intervention_flag,date_idx
gendercritical,2020-04-28,1199,473,346.6346955796497,56,2.5348837209302326,0,-62
gendercritical,2020-04-29,1437,579,336.1503131524008,93,2.481865284974093,0,-61
gendercritical,2020-04-30,1465,550,368.2348122866894,76,2.6636363636363636,0,-60
gendercritical,2020-05-01,906,395,358.32781456953643,62,2.293670886075949,0,-59
gendercritical,2020-05-02,1073,456,344.0810810810811,72,2.3530701754385963,0,-58
gendercritical,2020-05-03,1376,509,374.96656976744185,82,2.7033398821218073,0,-57
gendercritical,2020-05-04,1403,518,305.9094796863863,85,2.7084942084942085,0,-56
gendercritical,2020-05-05,1613,542,329.2678239305642,73,2.9760147601476015,0,-55
gendercritical,2020-05-06,1190,437,370.8983193277311,68,2.723112128146453,0,-54
gendercritical,2020-05-07,1243,488,343.17296862429606,61,2.5471311475409837,0,-53
gendercritical,2020-05-08,1036,459,360.9131274131274,66,2.2570806100217866,0,-52
gendercritical,2020-05-09,1108,471,371.89350180505414,58,2.3524416135881103,0,-51
gendercritical,2020-05-10,1307,520,317.176740627391,71,2.5134615384615384,0,-50
gendercritical,2020-05-11,1350,498,315.39407407407407,60,2.710843373493976,0,-49
gendercritical,2020-05-12,1311,503,340.651411136537,82,2.606361829025845,0,-48
gendercritical,2020-05-13,1038,430,316.2456647398844,80,2.4139534883720932,0,-47
gendercritical,2020-05-14,1143,465,318.419072615923,64,2.458064516129032,0,-46
gendercritical,2020-05-15,1228,478,350.9804560260586,62,2.569037656903766,0,-45
gendercritical,2020-05-16,1151,466,343.54821894005215,66,2.4699570815450644,0,-44
gendercritical,2020-05-17,1245,465,321.6602409638554,69,2.6774193548387095,0,-43
gendercritical,2020-05-18,1099,465,313.2156505914468,66,2.3634408602150536,0,-42
gendercritical,2020-05-19,1165,472,289.56995708154506,70,2.468220338983051,0,-41
gendercritical,2020-05-20,1040,430,319.475,51,2.4186046511627906,0,-40
gendercritical,2020-05-21,1077,429,325.7149489322191,57,2.5104895104895104,0,-39
gendercritical,2020-05-22,1337,488,349.44801795063574,57,2.7397540983606556,0,-38
gendercritical,2020-05-23,1250,446,328.116,74,2.802690582959641,0,-37
gendercritical,2020-05-24,1154,430,337.3457538994801,67,2.683720930232558,0,-36
gendercritical,2020-05-25,1020,420,272.0107843137255,77,2.4285714285714284,0,-35
gendercritical,2020-05-26,1142,454,359.36252189141857,66,2.515418502202643,0,-34
gendercritical,2020-05-27,1189,469,325.07821698906645,76,2.535181236673774,0,-33
gendercritical,2020-05-28,1045,418,380.8267942583732,63,2.5,0,-32
gendercritical,2020-05-29,923,392,309.8970747562297,39,2.354591836734694,0,-31
gendercritical,2020-05-30,919,377,357.0957562568009,47,2.4376657824933687,0,-30
gendercritical,2020-05-31,1097,388,342.8313582497721,40,2.827319587628866,0,-29
gendercritical,2020-06-01,992,393,332.9304435483871,46,2.524173027989822,0,-28
gendercritical,2020-06-02,761,350,334.53088042049933,41,2.1742857142857144,0,-27
gendercritical,2020-06-03,878,371,303.89179954441914,54,2.3665768194070083,0,-26
gendercritical,2020-06-04,944,368,332.2775423728813,57,2.5652173913043477,0,-25
gendercritical,2020-06-05,793,353,338.9155107187894,52,2.2464589235127477,0,-24
gendercritical,2020-06-06,882,383,309.468253968254,47,2.3028720626631856,0,-23
